word	lang	translation	tags	form_of	etymology	pos	vform	case	gender	number	other
а	rom	а	сз., част.			CONJ;PRCL					
ав	rom	приди, будь	повел.		снскр. ājā- приходить	VERB	IMPER				
аваса	rom	будем				VERB					редко васа
авир, вавир	rom	другой, другая	мест.			PRON					
аври	rom	вон	межд.			INTJ					
аври	rom	вон, прочь, наружу, вне	нар.		снскр. bahiḥ, bahis, bahir, вне	ADVB					
авья	rom	пришел (он), пришла				VERB					
авэла	rom	приходит, придёт, будет	гл. неп.		снскр. ājā- приходить	VERB	INTR				
авэла	rom	довольно, достаточно, хватит	нар.			ADVB					
авэлас	rom	приходил[а]				VERB					
авэн	rom	придите, пойдёмте	повел.			VERB	IMPER				
авэн, авэна	rom	приходят, придут, будут				VERB					
авэнти	rom	придите, пойдёмте	повел.			VERB	IMPER				
агай	rom	ай	межд.			INTJ					
ада, да	rom	этот, эта, эти	общая ф.			ADJ					общая ф.
адава, дава	rom	этот, это	мест.		снскр. (a)dáḥ этот, тот, он	PRON					
ададывэс, дадывэс	rom	сегодня, нынче	нар.			ADVB					
адай, дай	rom	здесь	нар.			ADVB					
адалэ	rom	эти		мн. к адава и адая		ADJ					
адалэ	rom	этот, эта, эти	завис. ф. при сущ.			ADJ					завис. ф. при сущ.
адалэстэ	rom	у этого		местн. ед. м. к адава		unknown					
адарик	rom	сюда	нар.		адая + риг	ADVB					
адасави	rom	такая		ж. к адасаво		ADJ					
адасаво, дасаво, дасо	rom	такой	мест.		адава + саво	PRON					
адасавэ	rom	такие		мн. к адасаво		ADJ					
адатхыр	rom	отсюда, с этих пор, с этого времени	нар.			ADVB					
адая	rom	эта		ж. к адава		ADJ					
адвокато	rom	адвокат	м.			NOUN			m		
адякэ, дякэ	rom	так, таким образом	нар.			ADVB					
аи	rom	да	межд.			INTJ					
акадай	rom	вот здесь	нар.		акэ + адай	ADVB					
акана, акакана, кана	rom	теперь, сейчас	нар.		перс. aknūn сейчас	ADVB					
акэ	rom	вот	част.			PRCL					
акэнти	rom	вот вам	межд.			INTJ					
алфавито	rom	алфавит	ж.			NOUN			f		
амари	rom	наша		ж. к амаро		ADJ					
амаро	rom	наш	мест.	ф. принадл. к амэ	хинди hamārā наш	PRON					редко маро
амарьятыр	rom	[из] нашей		отл. ж. ед. к амаро		ADJ					
амарэ	rom	наш, наша, наши	завис. ф. при сущ.			ADJ					завис. ф. при сущ.
амарэ	rom	наши		мн. к амаро		ADJ					
амарэн	rom	наших		вин. мн. к амаро		ADJ					
амарэнгэ	rom	нашим		дат. мн. к амаро		ADJ					
амарэстэ	rom	[у] нашего		местн. ед. м. к амаро		ADJ					
амэ, ямэ	rom	мы	мест.		др.-инд. vay-ám, гуджарати ате: мы	PRON					редко после -а мэ
амэнгэ	rom	нам		дат. к амэ		PRON					
амэндэ	rom	[у] нас		местн. к амэ		PRON					
амэнца	rom	с нами		тв. к амэ		unknown					
ангил	rom	вперед, впереди, раньше	нар.			ADVB					
ангил	rom	перед	предл. с местн.		снскр. agrāt спереди, раньше	PREP					с местн.
ангило	rom	перед	предл. с местн.		англэ + артикль о	PREP					с местн.
ангилэ	rom	перед	предл. с местн.		англэ + артикль э	PREP					с местн.
англыдыр	rom	прежде	сравн.			COMP					
ангрусты	rom	кольцо, перстень	ж.			NOUN			f		
ангушт	rom	палец	м.		снскр. ańgúšta большой палец	NOUN			m		
ангушта	rom	пальцы		мн. к ангушт		NOUN					
ангуштэнца	rom	[с] пальцами		тв. мн. к ангушт		NOUN					
андрэ	rom	внутрь, внутри	нар.		снскр. antare внутри	ADVB					
андрэдыно	rom	запряжен, букв.: внутрь дан				PRTCP					
арбузо	rom	арбуз	м.			NOUN			m		
арман	rom	проклятие	ж.		др.-перс. Ahremán злой дух Ариман	NOUN			f		
армандыно	rom	проклятый	прич.	к арманя дэл		PRTCP					
армандыны	rom	проклятая		ж. к армандыно		ADJ					
арманя	rom	проклятия		мн. к арман		NOUN					
арманя дэл	rom	проклинает	гл. пер.			VERB	TRAN				
арманятыр	rom	[от] проклятия		отл. ед. к арма		NOUN					
артисто	rom	артист	м.			NOUN			m		
атася, тася	rom	завтра, вчера	нар., с прош.		греч. ταχειά, ταχυά завтра	ADVB					с прош.
ачела, ячела	rom	остается, становится	гл. неп.		снскр. ākṣ̌áy- оставлять	VERB	INTR				
ачела муло	rom	станет мертвым, умрет				unknown					
ачелпэ	rom	остается	гл. неп.			VERB	INTR				
ачнэ	rom	стали				VERB					
ачья	rom	стал[а]				VERB					
ачявэла	rom	оставляет	гл. пер.			VERB	TRAN				
ачядо	rom	оставленный	прич.			PRTCP					
ачядэ	rom	оставили				VERB					
ачядэ	rom	оставленные		мн. к ачядо		PRTCP					
багав, багава	rom	пою				VERB					
багал, багала	rom	поёт	гл. пер.			VERB	TRAN				редко габал
баганас	rom	пели				VERB					
багандём	rom	спел[а]				VERB					
багандя	rom	спел[а]				VERB					
багибнытко	rom	певучий, -ая, связанный с пением, (м./ж.) певец / певица				ADJ					
бакри	rom	овца	ж.			NOUN			f		
бакро	rom	баран	м.		снскр. barkara (м.) козленок, барашек	NOUN			m		
бакроро	rom	барашек	м.		уменьш. от бакро	NOUN			m		
бакрорэ	rom	барашки		мн. к бакроро		NOUN					
бакрэ	rom	бараны		мн. к бакро		NOUN					
бакрэскэ	rom	барану		дат. ед. к бакро		NOUN					
бакря	rom	овцы	ж.	мн. к бакри		NOUN			f		
бакрякэ	rom	овце		дат. ед. к бакри		NOUN					
бал	rom	волос	м.		снскр. vāla, bāla (м.) волос, конский волос	NOUN			m		
бала	rom	волосы		мн. к бал		NOUN					
балавас	rom	ветчина, сало	м.		снскр. varāha-vasā (ж.) сало топленое, смалец	NOUN			m		
балвал	rom	ветер	ж.		снскр. vā́ta vā́ti ветер веет	NOUN			f		
балваляса	rom	[с] ветром		тв. ед. к балвал		NOUN					
банги	rom	кривая		м. к банго		NOUN					
банги	rom	кочерга, букв.: кривая	ж.			NOUN			f		
банго	rom	кривой, виновный	прил.		снскр. vańka кривизна	ADJ					
бангоро	rom	кривенький	прил.		уменьш. от банго	ADJ					
